1269991320141037570 2020-06-08 13:55:00 UTC <RFAChinese> 然而，其他如放弃喝酒或抽菸等行为也都被列入可疑行为的列表中。  一名受访者向德国之声证实，他们於「再教育营」中所拿到的文件，跟这份2014年所颁布的列表非常相似，但「再教育营」中的文件还包含了申请护照或是到国外旅游等新项目。
1269982764293652481 2020-06-08 13:21:00 UTC <RFAChinese> 另一人则是隔着铁窗，从「老师」的手上拿到这个罪名列表。大部分的「再教育营」都会透过某种方式将「老师」与维吾尔人隔开，而几乎每个空间都会由持电击枪的武装人员  「管理人员威胁我说，如果我不从列表中选出罪名的话，就代表我不承认我的罪行。我将永远待在营中。这是为何我下定决心选一个罪行。」
1269976221439406083 2020-06-08 12:55:00 UTC <RFAChinese> 这4个人目前都已搬到哈萨克。外界认为，他们之所以能离开「再教育营」并搬到哈萨克，应该与家属公开声援与哈国政府透过外交管道与中国交涉有关。也因如此，中国政府已从「再教育营」中释放了具有哈国居留权丶护照或是有家人住在哈萨克斯坦的「再教育营」成员。哈萨克斯坦当地有不少维吾尔人定居。
1269967414202073088 2020-06-08 12:20:01 UTC <RFAChinese> 在他们被关押於「再教育营」的无数个月，有其中一天的经历让他们印象深刻。那一天，「再教育营」的官员会逼他们从一个充满不同罪名的列表中，挑出一个罪名。然而，在此之前，他们往往是在未被告知为何遭逮捕的情况下，便被送入「再教育营」。
1269960181527580673 2020-06-08 11:51:16 UTC <RFAChinese> 新疆庞大的「再教育营」网络中，恐怖的关押日常生活既单调又无聊。被拘留者得坐在小凳子上，接受好几个小时的思想灌输与语言课程。  在部分「再教育营」中，他们得花好多个小时，盯着电视中赞扬中国国家主席习近平的电视节目。任何人如果尝试窃窃私语，都会立即受到严厉的惩罚。
1269941491142668288 2020-06-08 10:37:00 UTC <RFAChinese> 马科维茨去年在《大西洋》杂志上写道：“精英制已创造一种竞争，就算每人都遵守规则，也只有富人才能获胜。”他建议，与其把用来决定谁该在精英阶层占一席之地的测试调整得尽善尽美，不如“建立一个社会，使更多人能获得好的教育和好的工作——那么爬到最上层将不再那么重要了。” https://buff.ly/30gdhLF 
1269929917673857024 2020-06-08 09:51:01 UTC <RFAChinese> 话又说回来，如果美国更平等的话，那么它可能一开始就不会把大学招生放在如此重要的位置。耶鲁大学法学教授丹尼尔·马科维茨主张，美国竞争过于激烈的大学录取过程的最大弊端不是衡量成绩的方法，而是在于精英主义理想本身。   https://buff.ly/30gdhLF 
1269920102994100224 2020-06-08 09:12:01 UTC <RFAChinese> 安德鲁·M·佩里(Andrew M. Perry)去年在布鲁金斯学会(Brookings)上撰文说，拿标准化考试开刀对于解决教育不平等只是治标不治本。他说，造成这种不平等的原因是种族贫富差距，它源于奴隶制度、种族隔离、种族主义和经济剥削，因此需要出台更加雄心勃勃的政策才能消除。   https://buff.ly/30gdhLF 
1269910034697330689 2020-06-08 08:32:00 UTC <RFAChinese> 如果说在疫情之前SAT和ACT是不公平的，那么现在可能更不公平。两项测试背后的公司都计划推出线上考试的选择，但是许多低收入学生没有互联网连接，并且存在很多对作弊的担忧。  替代方案会更糟吗？   https://buff.ly/30gdhLF 
1269899717426716672 2020-06-08 07:51:00 UTC <RFAChinese> 许多标准化考试的批评者仍然认为，尽管并非刻意，但它们在种族和经济方面仍然具有歧视性  作者保罗·托夫(Paul Tough)在时报上指出，高中成绩是评估学生的一个更公平的指标。根据最近的一项研究，与SAT分数相比，高中GPA分数与家庭收入或种族方面的关联更少。   https://buff.ly/30gdhLF 
1269891915547389954 2020-06-08 07:20:00 UTC <RFAChinese> 标准化测试的历史植根于歧视。SAT的起源可以追溯到第一次世界大战，当时一位名叫卡尔·布里格姆的年轻心理学家帮助美国陆军开发了一种用于筛选新兵的心理能力测试。布里格姆是普林斯顿大学的教授，也是狂热的优生学家，他使用测试来证明其“北欧人种智力更优越”的观点   https://buff.ly/30gdhLF 
1269883113179623424 2020-06-08 06:45:02 UTC <RFAChinese> 由于疫情扰乱了考试日期，全国各地许多学校都将今年的申请者的SAT和ACT考试列为可选考试。上周，包括全国一些最好学校的加州大学系统甚至更进一步，投票决定在2025年之前完全取消这些考试。  从某些方面来说，这个决定算是姗姗来迟   https://buff.ly/30gdhLF 
1269874301035073536 2020-06-08 06:10:01 UTC <RFAChinese> 上世纪五六十年代，总统的每日国家安全简报中总会强调种族主义对美国的世界地位的损害。而特朗普无视自己的简报，因此也不太可能理解警察暴力和种族不公将如何损害美国的影响力——以及他自己的尚武会如何助长外国的暴行。  通过煽动不宽容的火焰损害美国世界地位的，是总统 https://buff.ly/3h1vgLN 
1269865497270632448 2020-06-08 05:35:02 UTC <RFAChinese> 总统自己树立的榜样是最有破坏性。特朗普发推称明尼阿波利斯的抗议者是“暴徒”；至于“有打砸，就会有开枪”这句话，《南华早报》(South China Morning Post)的一名撰稿人发表社论称，“这种认知失调让人感到困惑”——因为总统曾经公开支持香港的民主抗议者。   https://buff.ly/3h1vgLN 
1269859570555518983 2020-06-08 05:11:29 UTC <RFAChinese> 报告称，中国强迫要求监禁在集中营内的维吾尔人挑选一项罪名，再按此罪名进行虚假审判。
1269854672153718784 2020-06-08 04:52:01 UTC <RFAChinese> 肯尼迪执政期间，美国的民权抗议活动引起了国际社会对美国种族主义的关注。1963年，阿拉巴马州伯明翰市警察动用暴力镇压和平示威者，如今人们记得这件事，是因为《民权法案》中发挥的作用。但是，这桩暴行也给国际关系带来危机，新独立的非洲国家领导人讨论是否应与美国决裂   https://buff.ly/3h1vgLN 
1269846370455871490 2020-06-08 04:19:01 UTC <RFAChinese> 在冷战背景下，随着后殖民独立运动在非洲和亚洲蔓延，美国领导人开始认真对待种族主义对国际舆论的破坏性影响。时任美国驻联合国大使亨利·卡伯特·洛奇告诉艾森豪威尔，他“清楚地看到小石城骚乱对我们的外交关系造成的伤害”。国务卿杜勒斯认为，这会“破坏我们的外交政策”。   https://buff.ly/3h1vgLN 
1269836049171255297 2020-06-08 03:38:01 UTC <RFAChinese> 一些人指出，《独立宣言》中反复强调英国国王“在和平时期，未经立我们立法机构同意，就在我们中间维持其常备军”，并试图“使军队独立于文官政权之外，凌驾于文官政权之上”。  这与特朗普周一晚上的做法非常接近，当时特朗普宣布由米利将军“负责”街头发生的事情。 https://buff.ly/3dLQkEc 
1269830763480076289 2020-06-08 03:17:00 UTC <RFAChinese> 许多美国人直到本周才意识到，这些对军队用途的不同看法所造成的后果。前参谋长联席会议主席、海军上将迈克·马伦(Mike Mullen)谴责利用军队支持总统的政治行为，而总统“暴露了他对这个国家和平抗议权利的蔑视”。   https://buff.ly/3dLQkEc 
1269825730785021956 2020-06-08 02:57:01 UTC <RFAChinese> 马蒂斯打破长期的沉默。  作为文明兴衰的研究者，马蒂斯还说：“我们必须拒绝任何将我们城市视为‘战斗空间’、要我们身着制服的军队去‘驾驭’的想法。”阿拉斯加共和党参议员穆考斯基周四表示，他的批评是“真实而诚恳的，是必要的，早就该有的”，这是共和党与特朗普罕见的决裂。   https://buff.ly/3dLQkEc 
